,uuid,mel1,mel2,mel3,mel4,mel5,mel6,mel7,mel8,mel9,mel10,mel11,mel12,mel13,mel14,mel15,mel16,mel17,mel18,mel19,mel20,mel21,mel22,mel23,mel24,mel25,mel26,mel27,mel28,mel29,mel30,mel31,mel32,mel33,mel34,mel35,mel36,mel37,mel38,mel39,mel40,mel41,mel42,mel43,mel44,mel45,mel46,mel47,mel48,mel49,mel50,mel51,mel52,mel53,mel54,mel55,mel56,mel57,mel58,mel59,mel60,mel61,mel62,mel63,mel64,mel65,mel66,mel67,mel68,mel69,mel70,mel71,mel72,mel73,mel74,mel75,mel76,mel77,mel78,mel79,mel80,mel81,mel82,mel83,mel84,mel85,mel86,mel87,mel88,mel89,mel90,mel91,mel92,mel93,mel94,mel95,mel96,mel97,mel98,mel99,mel100,mel101,mel102,mel103,mel104,mel105,mel106,mel107,mel108,mel109,mel110,mel111,mel112,mel113,mel114,mel115,mel116,mel117,mel118,mel119,mel120,mel121,mel122,mel123,mel124,mel125,mel126,mel127,mel128,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc_delta1,mfcc_delta2,mfcc_delta3,mfcc_delta4,mfcc_delta5,mfcc_delta6,mfcc_delta7,mfcc_delta8,mfcc_delta9,mfcc_delta10,mfcc_delta11,mfcc_delta12,mfcc_delta13,status
0,00039425-7f3a-42aa-ac13-834aaa2b6b92,0.426974922,3.668322802,28.33364105,59.93912888,85.13928986,302.1360474,334.5977173,250.5503998,134.7557983,139.9311371,143.5671539,231.0031891,155.2926941,207.0455475,137.334259,46.20109177,29.17519188,27.1196785,26.68448639,20.39089584,5.418203354,5.024692535,4.965604782,3.355070353,3.97138381,5.605021477,10.15756893,8.714566231,8.743854523,7.921105385,17.59264755,17.31709862,22.83106995,19.86646652,6.834089756,8.661419868,7.606897831,4.878136158,2.579685926,1.092218876,0.49791342,0.38093093,1.205971122,1.567542911,2.248165846,1.419968486,2.96575284,5.34689045,5.930870056,23.56972122,37.40960312,6.230591774,4.501672268,5.663333893,14.6046524,25.75033188,8.311179161,1.144577622,2.737118721,2.622428656,1.052126169,0.617132127,0.666364491,2.749816656,2.470107317,7.666813374,14.31466007,12.86511421,12.89464283,2.445954323,1.249282479,0.895966172,1.878913999,1.191252232,0.383932501,0.728322566,2.112059832,2.031274319,2.849987984,3.827656269,3.828303814,2.588354111,2.537420511,1.782384753,2.529266834,0.766346395,0.36354515,0.378369838,0.250074148,0.545096457,0.12492843,0.151815563,0.013350536,0.001521055,0.000750319,2.62696E-05,1.07959E-05,9.29359E-06,8.43503E-06,7.52409E-06,6.36682E-06,5.45762E-06,5.09771E-06,4.33687E-06,3.92864E-06,3.59231E-06,3.28261E-06,2.8362E-06,2.45415E-06,2.46558E-06,2.03289E-06,1.89354E-06,1.67414E-06,1.48351E-06,1.39659E-06,1.25617E-06,1.02422E-06,1.00311E-06,9.13989E-07,9.3794E-07,8.86796E-07,9.25583E-07,7.85096E-07,7.3336E-07,6.84046E-07,6.80742E-07,6.51097E-07,6.71156E-07,-0.386491854,6.779330472,24.10195244,68.28852259,13.75715194,19.20239459,27.34147757,51.03176878,3.235950592,66.14883116,12.94080112,0,5.226524428,10.17274455,27.16642563,7.527874408,13.94584957,10.61600183,8.494248611,12.5428777,11.59075586,12.05335151,11.50297509,11.90615536,22.03387583,11.99948209,healthy
1,0009eb28-d8be-4dc1-92bb-907e53bc5c7a,7.450844288,9.826369286,109.1881409,370.8989563,441.8422852,199.9064484,209.4472504,169.6081696,191.0957184,165.7868958,156.5440674,173.5662079,102.8312073,118.9995346,237.530426,255.7093506,492.3439636,753.1443481,891.1151123,867.7963867,639.7284546,492.892334,281.149353,88.43402863,53.24713135,83.45929718,86.61151886,65.38355255,73.2142868,72.84395599,51.55006409,39.08985901,36.31830978,33.86449814,17.94517899,16.60150909,15.99873924,21.21489906,16.98456383,7.885661602,12.60351849,55.16347122,38.95520782,13.59849072,93.897995,110.4758453,30.47327042,9.168233871,11.91700649,10.69931221,11.61773968,19.29356003,29.79298782,7.904968739,3.147986412,1.011796236,0.69820863,1.044143915,0.864653111,1.191230178,1.642454267,5.367697716,1.909650445,1.614481926,1.632233262,1.906563401,6.841219425,8.648809433,4.392938137,3.410240889,2.743197203,2.249192476,6.271327496,7.764143944,5.042243958,6.513270855,4.575034618,6.542347908,4.169984341,6.233802795,2.541768312,2.357624292,5.504569054,3.283335209,0.285018414,0.291641086,0.425528198,0.264728665,0.066659443,0.108843468,0.102455981,0.093432002,0.035959914,0.029063338,0.027211426,0.014971958,0.007986823,0.005786262,0.001182019,0.001963263,0.0036085,0.001349063,0.005706646,0.001961554,0.003131363,0.009239108,0.007947434,0.007166118,0.022680666,0.042426262,0.027704976,0.021298358,0.005510879,0.008964133,0.016308244,0.003566711,0.004345715,0.004791928,0.002590706,0.001575677,0.002400337,0.003589864,0.006426362,0.001312967,1.70057E-05,8.84262E-06,6.06134E-06,5.0165E-06,-0.155128948,-103.4396841,-4.116188014,72.7383574,-0.003303267,21.55557844,28.01142968,40.44633181,31.09333207,57.14353695,8.177527554,-50.90845824,7.998535141,2.424827165,10.22687594,6.696938269,8.064034228,8.61250435,10.10862028,7.843926522,15.86360293,18.84329865,11.91157086,11.82269421,11.85462755,13.91940095,healthy
2,001328dc-ea5d-4847-9ccf-c5aa2a3f2d0f,0.364429206,0.350993156,3.118370056,14.41318226,46.39748764,107.1311722,99.42168427,108.5552292,67.03774261,49.72590256,58.07406235,87.8910675,98.77815247,125.2071533,98.81461334,57.87408066,95.56342316,67.5241394,40.81190491,52.19337463,47.09534073,67.74699402,54.59536362,25.48418045,23.59408188,25.56675911,14.19051266,11.37228584,11.46117783,8.296093941,6.812033176,6.425865173,10.51838112,15.788661,15.22555542,17.41296196,32.45446396,30.85732269,42.85251999,44.00690842,60.31494522,93.13137817,90.14736938,106.6423416,104.6453552,100.2073669,132.0071106,126.0477066,92.36074066,29.9323349,31.42674446,29.23881149,19.26398468,10.68404579,13.01148891,7.115496159,7.618590355,22.35809708,51.82727051,20.29301453,39.85894012,45.59093094,48.57606506,40.31647873,28.12394333,6.54085207,24.29269218,40.01418686,40.987957,36.43911743,31.72490501,6.450095177,10.37942696,4.970928669,3.3020854,5.332567692,5.004103184,2.882768869,1.757354617,2.044110775,4.516389847,6.856229305,3.928634167,3.902206659,4.464960575,1.603069067,2.244422913,4.30183506,2.774988413,3.412109137,1.931219935,2.211115599,0.265384853,0.02024921,0.018241053,0.00217455,2.20799E-05,2.24878E-05,2.05486E-05,2.03714E-05,2.02543E-05,2.03274E-05,2.16649E-05,2.15516E-05,2.03557E-05,2.00825E-05,2.13857E-05,2.2444E-05,2.17815E-05,1.96965E-05,2.12269E-05,2.06463E-05,1.95138E-05,1.86552E-05,1.99921E-05,1.97433E-05,1.98326E-05,1.69446E-05,1.41145E-05,1.42668E-05,5.75809E-06,6.77588E-06,6.42362E-06,9.48675E-06,1.03934E-05,1.03399E-05,1.03136E-05,1.03234E-05,0.590926858,0,34.6649565,79.30759691,35.90229251,14.82637509,52.08140876,31.29701907,15.54469097,103.2560426,30.44188238,0,24.52119687,8.858509243,23.7037562,9.628672468,19.7555883,11.58670471,11.46386366,9.816386858,13.7333475,12.4289189,13.28224301,16.63762554,15.81787858,12.97995668,healthy
3,001e2f19-d81c-4029-b33c-d2db56b23a4a,0.531282365,0.88642776,5.779359818,23.68904495,33.98540878,105.5830154,391.9951477,534.2996216,342.4946289,182.3487549,141.3839569,93.05197144,59.3065834,52.34388733,82.69063568,95.71257782,101.7389679,36.13689423,6.878606796,4.544145584,1.448891997,0.976088345,1.175245881,3.533123016,7.146332741,11.36692429,10.41417313,5.010716438,3.281970739,7.874371052,23.98339272,71.36125183,57.79837418,14.09331703,1.570372224,1.563866258,2.159109354,1.028584719,0.888892651,1.199572682,5.356205463,3.354620218,1.72089684,4.138288021,6.384999752,4.522638798,3.668306351,0.99066925,0.378585279,0.276904941,0.261628479,0.734658241,1.295546293,4.371132374,2.81802845,2.232196808,0.490727812,0.210703745,1.326413035,2.550472498,16.51535416,12.94743538,6.682605267,3.132760763,2.328181505,0.862725854,0.500339746,0.789052188,0.856281161,0.281433493,0.143472463,0.05731152,0.162959576,0.288344532,1.06601727,2.275690556,1.112515807,0.531133056,0.074248947,0.284920543,1.496838927,0.624800205,0.224938422,0.129366159,0.114691861,0.624356508,0.58481288,0.086067915,0.172545999,0.02931609,0.034655407,0.010139034,0.006825291,0.00073129,0.000137603,2.08874E-05,2.07701E-07,1.99338E-07,1.59291E-07,1.23183E-07,1.05313E-07,1.11501E-07,1.13411E-07,7.63876E-08,7.12313E-08,8.0682E-08,8.05633E-08,6.43889E-08,9.98781E-08,4.8683E-08,3.80559E-08,4.18516E-08,4.04412E-08,3.18074E-08,4.19062E-08,2.36574E-08,2.53479E-08,2.03217E-08,3.09653E-08,2.58554E-08,2.25236E-08,3.31594E-08,1.56316E-08,1.81611E-08,1.5163E-08,1.50743E-08,1.92933E-08,1.85472E-08,-1.317680903,6.779330472,10.10263494,78.47599189,12.45081184,10.8919985,43.53959311,51.92478975,34.05818836,83.98093471,19.96759136,0,14.84050716,9.133536082,30.66677168,7.363332626,15.23782366,10.69839885,11.19232866,16.58504682,10.06744412,11.04154527,17.24690755,11.99564808,21.1652146,9.87855779,healthy
4,0028b68c-aca4-4f4f-bb1d-cb4ed5bbd952,0.063146003,0.110404901,0.870209336,1.798367739,1.580811262,1.593634367,3.176588774,8.463251114,53.9800148,105.3311615,79.5428772,29.54504013,2.824538946,2.221669197,3.983728647,3.150277615,1.79063344,4.673306465,10.11649323,67.33118439,125.0587845,100.3556671,41.30100632,14.24345589,28.28705597,47.43046188,40.86609268,37.89034653,92.12343597,111.6353378,76.62754059,36.36554337,47.63570023,22.96512985,8.845780373,8.396347046,5.61000824,3.746305704,32.22271347,133.4157867,131.6142883,45.864151,30.63582611,96.13386536,805.1715088,791.3539429,115.4251556,84.91054535,96.83992767,148.2304077,36.71721268,6.588433266,5.046211243,5.660294056,4.353334904,18.61198807,16.47969437,4.479667187,13.18367481,14.60711575,21.18758965,15.02271366,15.53109741,20.59440231,40.54476166,28.69163322,6.590984344,4.960543156,58.49681091,25.67480278,7.264612198,20.03219032,15.11012459,20.55124855,17.29429817,11.764184,8.566413879,3.109953403,1.190052032,2.84488368,4.608550072,4.051104069,9.46193409,11.68430042,1.277937651,2.570543051,2.608143806,4.944841385,3.530795336,0.565998018,0.240286469,0.070139885,0.013801223,0.00168666,0.000554088,0.0001272,0.000925628,0.001648237,0.001069867,0.000214251,0.001025084,9.33212E-05,0.000253476,0.000295537,0.000108498,4.29278E-05,2.47892E-05,8.13694E-05,3.29091E-05,2.44421E-05,3.53746E-05,2.00307E-05,0.000685876,0.000441583,0.000100777,3.34904E-05,1.02091E-05,2.82016E-05,4.11618E-05,2.44192E-05,1.24018E-05,2.05728E-05,9.11627E-06,3.11193E-06,6.75575E-07,6.09107E-07,5.75347E-07,5.86702E-07,0.764983392,0,13.90382179,75.98737941,14.51737287,20.98077472,27.21340063,15.75125499,24.58163777,59.07281664,17.35825212,0,17.70592367,9.943941118,22.68947459,8.731572772,12.51591946,10.10943794,10.45046518,9.151406491,10.62200382,10.10189238,10.25863402,11.21383258,17.33948863,8.984002407,healthy
5,00291cce-36a0-4a29-9e2d-c1d96ca17242,2.238259315,5.158112049,66.33011627,142.9874115,240.9161224,527.8135376,751.0393677,997.8041382,1280.255127,1799.840576,1892.43335,1132.572632,450.7739258,730.7560425,804.9032593,562.8638306,175.9843445,287.7714233,153.0664063,299.8004456,373.310791,531.6168823,385.0186462,122.7274857,76.76406097,62.66746902,44.5471344,34.85705566,67.31890869,64.22669983,40.14874649,54.00635147,22.88698769,26.7096386,40.54534531,54.0068779,46.73973465,61.91911316,40.65473938,51.87755203,99.66357422,42.43514252,29.4389286,11.21320915,16.42714119,14.24414444,7.833034039,8.720752716,8.530385017,22.90608406,21.19752884,29.13302803,26.57723236,19.55459023,11.09680843,11.79493237,6.129853725,12.30562115,13.23878288,21.7827282,18.17566299,12.81064606,11.63149166,5.099416733,3.38336587,7.495136261,7.580227852,2.640416145,6.627891541,6.567731857,7.738255978,10.34196281,13.23809528,8.705179214,6.79353714,9.706329346,4.290881157,0.418894917,0.947216213,4.460821152,11.11120701,6.914685726,20.78242874,8.382800102,4.368964672,6.190814972,18.18853951,13.59002399,15.44920254,5.016834259,1.318693995,0.790128827,0.34434405,0.043682948,0.015186872,0.000816064,2.08062E-05,1.08694E-06,1.17015E-06,7.3293E-07,1.4218E-06,6.29358E-07,3.56157E-07,5.2802E-07,2.88702E-07,2.12711E-07,2.13199E-07,2.03237E-07,1.57461E-07,1.3244E-07,1.32205E-07,1.28307E-07,9.63065E-08,6.90044E-08,6.48396E-08,6.9405E-08,7.20852E-08,6.54034E-08,6.36555E-08,5.60709E-08,4.40966E-08,5.53042E-08,3.75338E-08,4.84415E-08,4.42182E-08,4.2433E-08,3.82287E-08,3.13545E-08,1.213056797,6.779330472,19.3632338,76.4663823,22.0813292,10.98673771,50.15040991,41.25488912,42.3630648,74.19020594,8.217452835,0,8.071514459,9.914976353,25.69330825,13.02618301,14.35843345,14.41972721,10.5980893,12.53646822,14.42589929,13.82783416,12.97225786,14.60252986,15.12980511,14.25391873,healthy
6,002d28bc-7806-4dfb-9c9b-afa8cb623cac,0.265657783,2.966926575,33.92774582,120.1781616,156.1806793,144.1177216,124.1129608,250.8817291,198.9138489,147.7225189,77.84567261,44.07284164,63.75390244,134.0317535,223.6138306,216.8075256,404.1431885,390.3411255,282.5394897,315.1207581,288.5528564,312.4452515,207.0110474,21.01280212,22.47566032,34.25403976,26.32514,20.2774601,16.63476181,11.53726578,7.344844341,12.40944195,15.88928509,45.18471527,47.30448914,63.35261917,82.32879639,68.92106628,64.60046387,60.83503723,25.46246719,27.40579605,8.690974236,27.07769394,126.8645401,101.4411469,30.97913551,11.56494713,8.103070259,5.758192539,11.3803091,5.504886627,7.235981941,6.183269978,3.015330553,1.373610973,2.308757067,2.904225111,8.85415554,9.000854492,4.121708393,14.38240147,23.91514397,48.88057327,8.28999424,7.336531639,21.82100296,13.13200188,4.715641022,1.125163555,2.49078393,1.553368211,0.89365685,0.158840671,0.362541884,8.671329498,20.22998238,21.17855835,4.760428905,1.429680228,6.533568382,7.852905273,17.65522385,6.279300213,1.461991072,0.855430603,1.003662586,0.394327909,1.319835544,10.35646248,3.607373714,2.071787596,1.45005846,0.070943102,0.006723566,0.000478394,3.96143E-06,1.2186E-06,6.67213E-07,4.98752E-07,4.54365E-07,3.00768E-07,2.71557E-07,3.99625E-07,1.57001E-07,1.42394E-07,2.31286E-07,1.03165E-07,1.15718E-07,6.93759E-08,5.40902E-08,7.51281E-08,5.07506E-08,5.82901E-08,7.18608E-08,6.32693E-08,3.44439E-08,2.43048E-08,3.92901E-08,3.67497E-08,3.4124E-08,1.72483E-08,1.81767E-08,2.54907E-08,1.99116E-08,1.97089E-08,1.79821E-08,1.4186E-08,0.58719859,-79.37480701,1.491620872,67.6309538,10.21263199,0.42266892,46.87285986,35.5708069,18.98947155,61.54769677,9.828031982,-23.14366098,2.747398535,5.011989572,8.1130964,6.767490602,7.627438845,10.52864867,11.28723429,9.51358836,14.92163486,10.09581458,12.2102131,13.41047855,11.79383535,12.49691022,healthy
7,0037f67c-0d6f-42e6-ab94-66499d4d2bf4,16.95467949,81.31610107,207.9936676,257.8026428,277.0575867,766.9922485,637.9976807,573.5405273,304.9759521,57.54075241,113.9691544,94.98462677,78.28373718,156.7934723,193.0971832,150.6736755,101.6624374,52.58820724,70.27567291,96.73583221,48.2618866,61.01274109,72.0246582,39.35271835,16.46770668,16.76093102,20.06934357,21.47165108,14.21532631,17.14304733,15.94758892,9.658857346,14.77466297,11.38036346,7.545683861,4.652879238,5.562243938,5.868602753,11.44507122,17.34322357,17.27862358,19.19200897,12.78532982,16.94183159,13.13171768,6.545735359,5.824186325,8.179447174,6.096951485,14.53573418,13.40653896,11.59675312,8.307747841,7.20982933,9.952711105,14.29975128,11.35851765,21.22669029,17.53710365,5.242953777,5.108685493,2.460990429,2.824696302,4.303292274,3.921517134,2.195848703,2.045915127,1.488697648,1.332339883,1.215501785,0.784617186,1.575673103,1.364842653,2.154320478,4.403194427,1.527446508,1.698864698,0.776598394,1.010663748,0.760873914,1.734713435,0.891318083,0.432579249,1.012414217,0.61689508,0.434308022,0.711658657,3.175928354,4.050805092,1.052610636,0.459803909,0.176503882,0.085399665,0.06900271,0.003956148,0.000329882,2.13577E-05,8.64447E-07,8.24496E-07,8.0091E-07,6.58963E-07,6.14776E-07,4.81181E-07,4.91107E-07,4.6246E-07,4.12413E-07,3.61537E-07,2.76292E-07,2.5385E-07,2.91945E-07,2.23501E-07,1.62932E-07,1.92101E-07,2.38746E-07,1.84117E-07,1.95974E-07,1.72546E-07,1.21091E-07,1.5153E-07,1.24905E-07,1.11022E-07,9.41285E-08,1.0026E-07,7.65791E-08,8.48649E-08,7.1796E-08,6.88604E-08,7.36785E-08,-0.642442608,-77.68446714,20.04310064,63.88026254,23.82216345,14.06700552,45.45257328,65.4504278,15.58508675,78.07198737,23.98562723,-17.04465951,14.97063364,4.118807265,14.07501914,10.52123637,9.754558542,12.17935047,8.999087223,11.28310663,14.98957417,10.98997032,16.34288758,11.14502403,13.62120376,14.43430226,healthy
8,003e1bf6-2ecf-4a00-9198-29db34e8d7ac,0.649785578,1.419450879,5.952915192,7.097367764,29.3766346,59.60855484,81.54599762,196.8962402,252.5303802,135.9432831,207.7536469,179.8034058,185.3929443,449.8325195,797.7340698,684.4734497,502.5805359,414.4157715,216.7039032,86.66708374,24.34584618,10.98429966,15.36307716,14.42628956,13.88448048,15.24818516,19.4687233,51.90914536,70.94522095,38.52725601,17.25042915,14.39631844,30.62878418,47.59158707,28.26057434,52.4431839,86.50498962,77.6064682,42.22812271,61.66182327,97.32781219,64.07303619,36.95161438,233.3162994,244.2805023,447.9797058,467.46875,169.3058014,31.00432968,48.88146591,17.08177567,5.210417271,2.613058329,1.824872851,1.908431411,1.741488695,3.508258581,7.137668133,6.806326389,5.335447788,6.674631596,6.713889122,6.091477871,2.033250093,2.052673578,3.202406168,0.691041291,0.308914512,0.375439614,1.438147426,1.82840693,0.791004062,0.285838574,0.313073426,0.614440203,0.35615471,0.401200116,0.789244533,0.241028726,0.126324475,0.137756705,0.05283504,0.182123378,0.259535044,0.111414373,0.022568198,0.023779511,0.079420589,0.046867467,0.078686267,0.028129155,0.016106935,0.005267775,0.000391162,0.000163941,1.31634E-05,3.45575E-07,3.38755E-07,3.09712E-07,2.07574E-07,2.92508E-07,2.86589E-07,1.96848E-07,1.43988E-07,1.8662E-07,1.822E-07,1.25387E-07,1.24197E-07,1.06109E-07,6.71599E-08,5.73261E-08,8.56428E-08,6.04345E-08,5.91338E-08,4.74095E-08,4.28783E-08,3.49212E-08,3.39541E-08,3.71392E-08,4.63721E-08,4.35525E-08,5.24107E-08,3.37881E-08,3.39108E-08,3.82633E-08,3.18788E-08,3.40529E-08,3.09473E-08,-0.396910967,-73.11872471,11.19011152,70.02062029,3.909085983,14.49579563,42.49886041,39.42012215,21.6396102,77.87065349,11.2115622,-13.19890099,14.98260626,3.359331227,11.53718805,9.416301293,16.57732128,8.18814446,14.67561876,12.58187052,14.05963747,12.9450975,12.14778599,12.86655357,18.73837041,12.91832595,healthy
9,0044964d-f7e9-43e3-831f-ae3e6374a9a4,4.267734051,3.921659708,11.87655449,69.9433136,402.2662964,880.2528687,903.6785889,455.1822815,282.1396484,152.8723602,248.7114563,1052.953735,1247.126099,2254.844971,1596.831909,449.6646729,100.532547,105.9062805,129.5684052,183.4856873,144.0991211,185.6134033,214.7076569,198.178299,515.352356,629.7992554,482.8400879,603.2267456,269.2415161,138.0941772,163.3031311,104.661293,95.73204803,99.47255707,54.77285767,106.2883301,203.5403748,283.8504639,246.4454346,441.1639709,386.2709045,128.7473602,174.9753723,318.3423767,300.1969299,96.32304382,204.7711029,275.4268494,429.9093018,270.7265015,95.98132324,43.92606354,100.0697021,174.2256012,64.57985687,161.4076233,533.0205078,347.089447,449.9700928,416.9485168,173.2821655,121.1932831,36.07659912,31.76128387,29.28776741,20.19270134,17.77604485,45.77596283,89.50402069,38.91604614,33.91926575,19.34357452,11.91652393,30.91519356,23.95714569,18.88967514,34.14206314,13.39764977,12.81533813,22.61610603,25.18033218,12.31153202,9.965987206,19.77079964,15.04614162,2.954908371,3.415898323,3.157289267,4.018296719,1.87744391,2.265163898,1.825262308,1.719533801,0.860463917,0.591650903,0.391549796,0.541992247,0.45215711,0.453581572,0.977175832,1.151068449,0.728256106,0.485488713,0.460642844,0.378044039,0.276638299,0.252019197,0.220508754,0.158266008,0.143007904,0.123697773,0.161011815,0.131743655,0.092581086,0.041649517,0.027690364,0.025375066,0.020329863,0.030550027,0.03991304,0.028581508,0.022231661,0.019931115,0.001913085,0.001162497,0.000982141,0.002364425,0.002050523,1.806515564,-91.9896692,17.00470187,77.01379267,20.26344897,10.57185579,40.50715995,38.55015771,15.37643897,72.38901667,18.26767244,0.830940497,27.86112568,4.464761013,13.25308636,10.60692668,14.98386949,9.147029073,10.47144004,9.532393486,11.76580955,12.15247515,17.58189074,11.49218336,15.07778477,12.65703634,healthy
