,uuid,mel1,mel2,mel3,mel4,mel5,mel6,mel7,mel8,mel9,mel10,mel11,mel12,mel13,mel14,mel15,mel16,mel17,mel18,mel19,mel20,mel21,mel22,mel23,mel24,mel25,mel26,mel27,mel28,mel29,mel30,mel31,mel32,mel33,mel34,mel35,mel36,mel37,mel38,mel39,mel40,mel41,mel42,mel43,mel44,mel45,mel46,mel47,mel48,mel49,mel50,mel51,mel52,mel53,mel54,mel55,mel56,mel57,mel58,mel59,mel60,mel61,mel62,mel63,mel64,mel65,mel66,mel67,mel68,mel69,mel70,mel71,mel72,mel73,mel74,mel75,mel76,mel77,mel78,mel79,mel80,mel81,mel82,mel83,mel84,mel85,mel86,mel87,mel88,mel89,mel90,mel91,mel92,mel93,mel94,mel95,mel96,mel97,mel98,mel99,mel100,mel101,mel102,mel103,mel104,mel105,mel106,mel107,mel108,mel109,mel110,mel111,mel112,mel113,mel114,mel115,mel116,mel117,mel118,mel119,mel120,mel121,mel122,mel123,mel124,mel125,mel126,mel127,mel128,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc_delta1,mfcc_delta2,mfcc_delta3,mfcc_delta4,mfcc_delta5,mfcc_delta6,mfcc_delta7,mfcc_delta8,mfcc_delta9,mfcc_delta10,mfcc_delta11,mfcc_delta12,mfcc_delta13,status
0,00039425-7f3a-42aa-ac13-834aaa2b6b92,0.426974922,3.668322802,28.33364105,59.93912888,85.13928986,302.1360474,334.5977173,250.5503998,134.7557983,139.9311371,143.5671539,231.0031891,155.2926941,207.0455475,137.334259,46.20109177,29.17519188,27.1196785,26.68448639,20.39089584,5.418203354,5.024692535,4.965604782,3.355070353,3.97138381,5.605021477,10.15756893,8.714566231,8.743854523,7.921105385,17.59264755,17.31709862,22.83106995,19.86646652,6.834089756,8.661419868,7.606897831,4.878136158,2.579685926,1.092218876,0.49791342,0.38093093,1.205971122,1.567542911,2.248165846,1.419968486,2.96575284,5.34689045,5.930870056,23.56972122,37.40960312,6.230591774,4.501672268,5.663333893,14.6046524,25.75033188,8.311179161,1.144577622,2.737118721,2.622428656,1.052126169,0.617132127,0.666364491,2.749816656,2.470107317,7.666813374,14.31466007,12.86511421,12.89464283,2.445954323,1.249282479,0.895966172,1.878913999,1.191252232,0.383932501,0.728322566,2.112059832,2.031274319,2.849987984,3.827656269,3.828303814,2.588354111,2.537420511,1.782384753,2.529266834,0.766346395,0.36354515,0.378369838,0.250074148,0.545096457,0.12492843,0.151815563,0.013350536,0.001521055,0.000750319,2.62696E-05,1.07959E-05,9.29359E-06,8.43503E-06,7.52409E-06,6.36682E-06,5.45762E-06,5.09771E-06,4.33687E-06,3.92864E-06,3.59231E-06,3.28261E-06,2.8362E-06,2.45415E-06,2.46558E-06,2.03289E-06,1.89354E-06,1.67414E-06,1.48351E-06,1.39659E-06,1.25617E-06,1.02422E-06,1.00311E-06,9.13989E-07,9.3794E-07,8.86796E-07,9.25583E-07,7.85096E-07,7.3336E-07,6.84046E-07,6.80742E-07,6.51097E-07,6.71156E-07,-0.386491854,6.779330472,24.10195244,68.28852259,13.75715194,19.20239459,27.34147757,51.03176878,3.235950592,66.14883116,12.94080112,0,5.226524428,10.17274455,27.16642563,7.527874408,13.94584957,10.61600183,8.494248611,12.5428777,11.59075586,12.05335151,11.50297509,11.90615536,22.03387583,11.99948209,healthy
1,0009eb28-d8be-4dc1-92bb-907e53bc5c7a,7.450844288,9.826369286,109.1881409,370.8989563,441.8422852,199.9064484,209.4472504,169.6081696,191.0957184,165.7868958,156.5440674,173.5662079,102.8312073,118.9995346,237.530426,255.7093506,492.3439636,753.1443481,891.1151123,867.7963867,639.7284546,492.892334,281.149353,88.43402863,53.24713135,83.45929718,86.61151886,65.38355255,73.2142868,72.84395599,51.55006409,39.08985901,36.31830978,33.86449814,17.94517899,16.60150909,15.99873924,21.21489906,16.98456383,7.885661602,12.60351849,55.16347122,38.95520782,13.59849072,93.897995,110.4758453,30.47327042,9.168233871,11.91700649,10.69931221,11.61773968,19.29356003,29.79298782,7.904968739,3.147986412,1.011796236,0.69820863,1.044143915,0.864653111,1.191230178,1.642454267,5.367697716,1.909650445,1.614481926,1.632233262,1.906563401,6.841219425,8.648809433,4.392938137,3.410240889,2.743197203,2.249192476,6.271327496,7.764143944,5.042243958,6.513270855,4.575034618,6.542347908,4.169984341,6.233802795,2.541768312,2.357624292,5.504569054,3.283335209,0.285018414,0.291641086,0.425528198,0.264728665,0.066659443,0.108843468,0.102455981,0.093432002,0.035959914,0.029063338,0.027211426,0.014971958,0.007986823,0.005786262,0.001182019,0.001963263,0.0036085,0.001349063,0.005706646,0.001961554,0.003131363,0.009239108,0.007947434,0.007166118,0.022680666,0.042426262,0.027704976,0.021298358,0.005510879,0.008964133,0.016308244,0.003566711,0.004345715,0.004791928,0.002590706,0.001575677,0.002400337,0.003589864,0.006426362,0.001312967,1.70057E-05,8.84262E-06,6.06134E-06,5.0165E-06,-0.155128948,-103.4396841,-4.116188014,72.7383574,-0.003303267,21.55557844,28.01142968,40.44633181,31.09333207,57.14353695,8.177527554,-50.90845824,7.998535141,2.424827165,10.22687594,6.696938269,8.064034228,8.61250435,10.10862028,7.843926522,15.86360293,18.84329865,11.91157086,11.82269421,11.85462755,13.91940095,healthy
2,001328dc-ea5d-4847-9ccf-c5aa2a3f2d0f,0.364429206,0.350993156,3.118370056,14.41318226,46.39748764,107.1311722,99.42168427,108.5552292,67.03774261,49.72590256,58.07406235,87.8910675,98.77815247,125.2071533,98.81461334,57.87408066,95.56342316,67.5241394,40.81190491,52.19337463,47.09534073,67.74699402,54.59536362,25.48418045,23.59408188,25.56675911,14.19051266,11.37228584,11.46117783,8.296093941,6.812033176,6.425865173,10.51838112,15.788661,15.22555542,17.41296196,32.45446396,30.85732269,42.85251999,44.00690842,60.31494522,93.13137817,90.14736938,106.6423416,104.6453552,100.2073669,132.0071106,126.0477066,92.36074066,29.9323349,31.42674446,29.23881149,19.26398468,10.68404579,13.01148891,7.115496159,7.618590355,22.35809708,51.82727051,20.29301453,39.85894012,45.59093094,48.57606506,40.31647873,28.12394333,6.54085207,24.29269218,40.01418686,40.987957,36.43911743,31.72490501,6.450095177,10.37942696,4.970928669,3.3020854,5.332567692,5.004103184,2.882768869,1.757354617,2.044110775,4.516389847,6.856229305,3.928634167,3.902206659,4.464960575,1.603069067,2.244422913,4.30183506,2.774988413,3.412109137,1.931219935,2.211115599,0.265384853,0.02024921,0.018241053,0.00217455,2.20799E-05,2.24878E-05,2.05486E-05,2.03714E-05,2.02543E-05,2.03274E-05,2.16649E-05,2.15516E-05,2.03557E-05,2.00825E-05,2.13857E-05,2.2444E-05,2.17815E-05,1.96965E-05,2.12269E-05,2.06463E-05,1.95138E-05,1.86552E-05,1.99921E-05,1.97433E-05,1.98326E-05,1.69446E-05,1.41145E-05,1.42668E-05,5.75809E-06,6.77588E-06,6.42362E-06,9.48675E-06,1.03934E-05,1.03399E-05,1.03136E-05,1.03234E-05,0.590926858,0,34.6649565,79.30759691,35.90229251,14.82637509,52.08140876,31.29701907,15.54469097,103.2560426,30.44188238,0,24.52119687,8.858509243,23.7037562,9.628672468,19.7555883,11.58670471,11.46386366,9.816386858,13.7333475,12.4289189,13.28224301,16.63762554,15.81787858,12.97995668,healthy
3,001e2f19-d81c-4029-b33c-d2db56b23a4a,0.531282365,0.88642776,5.779359818,23.68904495,33.98540878,105.5830154,391.9951477,534.2996216,342.4946289,182.3487549,141.3839569,93.05197144,59.3065834,52.34388733,82.69063568,95.71257782,101.7389679,36.13689423,6.878606796,4.544145584,1.448891997,0.976088345,1.175245881,3.533123016,7.146332741,11.36692429,10.41417313,5.010716438,3.281970739,7.874371052,23.98339272,71.36125183,57.79837418,14.09331703,1.570372224,1.563866258,2.159109354,1.028584719,0.888892651,1.199572682,5.356205463,3.354620218,1.72089684,4.138288021,6.384999752,4.522638798,3.668306351,0.99066925,0.378585279,0.276904941,0.261628479,0.734658241,1.295546293,4.371132374,2.81802845,2.232196808,0.490727812,0.210703745,1.326413035,2.550472498,16.51535416,12.94743538,6.682605267,3.132760763,2.328181505,0.862725854,0.500339746,0.789052188,0.856281161,0.281433493,0.143472463,0.05731152,0.162959576,0.288344532,1.06601727,2.275690556,1.112515807,0.531133056,0.074248947,0.284920543,1.496838927,0.624800205,0.224938422,0.129366159,0.114691861,0.624356508,0.58481288,0.086067915,0.172545999,0.02931609,0.034655407,0.010139034,0.006825291,0.00073129,0.000137603,2.08874E-05,2.07701E-07,1.99338E-07,1.59291E-07,1.23183E-07,1.05313E-07,1.11501E-07,1.13411E-07,7.63876E-08,7.12313E-08,8.0682E-08,8.05633E-08,6.43889E-08,9.98781E-08,4.8683E-08,3.80559E-08,4.18516E-08,4.04412E-08,3.18074E-08,4.19062E-08,2.36574E-08,2.53479E-08,2.03217E-08,3.09653E-08,2.58554E-08,2.25236E-08,3.31594E-08,1.56316E-08,1.81611E-08,1.5163E-08,1.50743E-08,1.92933E-08,1.85472E-08,-1.317680903,6.779330472,10.10263494,78.47599189,12.45081184,10.8919985,43.53959311,51.92478975,34.05818836,83.98093471,19.96759136,0,14.84050716,9.133536082,30.66677168,7.363332626,15.23782366,10.69839885,11.19232866,16.58504682,10.06744412,11.04154527,17.24690755,11.99564808,21.1652146,9.87855779,healthy
4,00291cce-36a0-4a29-9e2d-c1d96ca17242,2.238259315,5.158112049,66.33011627,142.9874115,240.9161224,527.8135376,751.0393677,997.8041382,1280.255127,1799.840576,1892.43335,1132.572632,450.7739258,730.7560425,804.9032593,562.8638306,175.9843445,287.7714233,153.0664063,299.8004456,373.310791,531.6168823,385.0186462,122.7274857,76.76406097,62.66746902,44.5471344,34.85705566,67.31890869,64.22669983,40.14874649,54.00635147,22.88698769,26.7096386,40.54534531,54.0068779,46.73973465,61.91911316,40.65473938,51.87755203,99.66357422,42.43514252,29.4389286,11.21320915,16.42714119,14.24414444,7.833034039,8.720752716,8.530385017,22.90608406,21.19752884,29.13302803,26.57723236,19.55459023,11.09680843,11.79493237,6.129853725,12.30562115,13.23878288,21.7827282,18.17566299,12.81064606,11.63149166,5.099416733,3.38336587,7.495136261,7.580227852,2.640416145,6.627891541,6.567731857,7.738255978,10.34196281,13.23809528,8.705179214,6.79353714,9.706329346,4.290881157,0.418894917,0.947216213,4.460821152,11.11120701,6.914685726,20.78242874,8.382800102,4.368964672,6.190814972,18.18853951,13.59002399,15.44920254,5.016834259,1.318693995,0.790128827,0.34434405,0.043682948,0.015186872,0.000816064,2.08062E-05,1.08694E-06,1.17015E-06,7.3293E-07,1.4218E-06,6.29358E-07,3.56157E-07,5.2802E-07,2.88702E-07,2.12711E-07,2.13199E-07,2.03237E-07,1.57461E-07,1.3244E-07,1.32205E-07,1.28307E-07,9.63065E-08,6.90044E-08,6.48396E-08,6.9405E-08,7.20852E-08,6.54034E-08,6.36555E-08,5.60709E-08,4.40966E-08,5.53042E-08,3.75338E-08,4.84415E-08,4.42182E-08,4.2433E-08,3.82287E-08,3.13545E-08,1.213056797,6.779330472,19.3632338,76.4663823,22.0813292,10.98673771,50.15040991,41.25488912,42.3630648,74.19020594,8.217452835,0,8.071514459,9.914976353,25.69330825,13.02618301,14.35843345,14.41972721,10.5980893,12.53646822,14.42589929,13.82783416,12.97225786,14.60252986,15.12980511,14.25391873,healthy
5,003e1bf6-2ecf-4a00-9198-29db34e8d7ac,0.649785578,1.419450879,5.952915192,7.097367764,29.3766346,59.60855484,81.54599762,196.8962402,252.5303802,135.9432831,207.7536469,179.8034058,185.3929443,449.8325195,797.7340698,684.4734497,502.5805359,414.4157715,216.7039032,86.66708374,24.34584618,10.98429966,15.36307716,14.42628956,13.88448048,15.24818516,19.4687233,51.90914536,70.94522095,38.52725601,17.25042915,14.39631844,30.62878418,47.59158707,28.26057434,52.4431839,86.50498962,77.6064682,42.22812271,61.66182327,97.32781219,64.07303619,36.95161438,233.3162994,244.2805023,447.9797058,467.46875,169.3058014,31.00432968,48.88146591,17.08177567,5.210417271,2.613058329,1.824872851,1.908431411,1.741488695,3.508258581,7.137668133,6.806326389,5.335447788,6.674631596,6.713889122,6.091477871,2.033250093,2.052673578,3.202406168,0.691041291,0.308914512,0.375439614,1.438147426,1.82840693,0.791004062,0.285838574,0.313073426,0.614440203,0.35615471,0.401200116,0.789244533,0.241028726,0.126324475,0.137756705,0.05283504,0.182123378,0.259535044,0.111414373,0.022568198,0.023779511,0.079420589,0.046867467,0.078686267,0.028129155,0.016106935,0.005267775,0.000391162,0.000163941,1.31634E-05,3.45575E-07,3.38755E-07,3.09712E-07,2.07574E-07,2.92508E-07,2.86589E-07,1.96848E-07,1.43988E-07,1.8662E-07,1.822E-07,1.25387E-07,1.24197E-07,1.06109E-07,6.71599E-08,5.73261E-08,8.56428E-08,6.04345E-08,5.91338E-08,4.74095E-08,4.28783E-08,3.49212E-08,3.39541E-08,3.71392E-08,4.63721E-08,4.35525E-08,5.24107E-08,3.37881E-08,3.39108E-08,3.82633E-08,3.18788E-08,3.40529E-08,3.09473E-08,-0.396910967,-73.11872471,11.19011152,70.02062029,3.909085983,14.49579563,42.49886041,39.42012215,21.6396102,77.87065349,11.2115622,-13.19890099,14.98260626,3.359331227,11.53718805,9.416301293,16.57732128,8.18814446,14.67561876,12.58187052,14.05963747,12.9450975,12.14778599,12.86655357,18.73837041,12.91832595,healthy
6,0044964d-f7e9-43e3-831f-ae3e6374a9a4,4.267734051,3.921659708,11.87655449,69.9433136,402.2662964,880.2528687,903.6785889,455.1822815,282.1396484,152.8723602,248.7114563,1052.953735,1247.126099,2254.844971,1596.831909,449.6646729,100.532547,105.9062805,129.5684052,183.4856873,144.0991211,185.6134033,214.7076569,198.178299,515.352356,629.7992554,482.8400879,603.2267456,269.2415161,138.0941772,163.3031311,104.661293,95.73204803,99.47255707,54.77285767,106.2883301,203.5403748,283.8504639,246.4454346,441.1639709,386.2709045,128.7473602,174.9753723,318.3423767,300.1969299,96.32304382,204.7711029,275.4268494,429.9093018,270.7265015,95.98132324,43.92606354,100.0697021,174.2256012,64.57985687,161.4076233,533.0205078,347.089447,449.9700928,416.9485168,173.2821655,121.1932831,36.07659912,31.76128387,29.28776741,20.19270134,17.77604485,45.77596283,89.50402069,38.91604614,33.91926575,19.34357452,11.91652393,30.91519356,23.95714569,18.88967514,34.14206314,13.39764977,12.81533813,22.61610603,25.18033218,12.31153202,9.965987206,19.77079964,15.04614162,2.954908371,3.415898323,3.157289267,4.018296719,1.87744391,2.265163898,1.825262308,1.719533801,0.860463917,0.591650903,0.391549796,0.541992247,0.45215711,0.453581572,0.977175832,1.151068449,0.728256106,0.485488713,0.460642844,0.378044039,0.276638299,0.252019197,0.220508754,0.158266008,0.143007904,0.123697773,0.161011815,0.131743655,0.092581086,0.041649517,0.027690364,0.025375066,0.020329863,0.030550027,0.03991304,0.028581508,0.022231661,0.019931115,0.001913085,0.001162497,0.000982141,0.002364425,0.002050523,1.806515564,-91.9896692,17.00470187,77.01379267,20.26344897,10.57185579,40.50715995,38.55015771,15.37643897,72.38901667,18.26767244,0.830940497,27.86112568,4.464761013,13.25308636,10.60692668,14.98386949,9.147029073,10.47144004,9.532393486,11.76580955,12.15247515,17.58189074,11.49218336,15.07778477,12.65703634,healthy
7,004c24d8-e8cd-4755-86f6-5a1d8c7920c7,15.08266735,71.27386475,125.4046936,530.7617188,737.3595581,947.1131592,684.4561768,356.249939,527.4244385,332.335968,227.5687256,205.2780762,207.3091736,147.0797272,128.8084717,116.2136688,143.6717987,183.8512268,212.9149323,196.9680939,122.0362091,93.40248871,134.3114471,142.9403992,159.4185181,131.0124207,85.64970398,57.55847931,48.85048676,39.38912582,35.27249908,63.86563873,64.69563293,39.89878082,41.63312912,40.84560776,32.06212616,34.15228653,30.58003426,52.96486282,46.45174408,87.36434937,113.1759949,46.63513565,39.6434288,24.28111076,22.2482357,39.59629059,18.12459564,22.31261826,21.22457504,21.01462555,12.14186096,8.267865181,14.07774925,10.62802887,7.094055176,4.257492542,3.574615002,3.597301483,2.42837286,1.751620889,3.342772245,1.407189488,1.087453961,0.949981153,1.679520726,1.239976883,2.086272955,4.984254837,16.25183678,47.0497551,24.53249359,11.07698441,11.18212891,13.11693192,8.772233009,8.610859871,14.07261848,8.116456032,9.783268929,17.74262619,30.1131382,20.84434319,9.773304939,11.11408424,53.94546127,38.80832291,34.78368759,22.69173241,2.302073479,1.332611442,0.086426385,0.017533295,0.008514266,0.005645125,0.003806428,0.002686432,0.001978324,0.001490079,0.001112253,0.00089613,0.000702312,0.000570794,0.000466265,0.000383685,0.000316999,0.00026797,0.000228009,0.00019491,0.000166248,0.000144785,0.000126819,0.000110467,9.71361E-05,8.6627E-05,7.72681E-05,6.9538E-05,6.24761E-05,5.76616E-05,5.2928E-05,4.90528E-05,4.59795E-05,4.34288E-05,4.12774E-05,3.96849E-05,3.85588E-05,3.77576E-05,2.006532406,6.779330472,18.44135219,59.11330035,29.98542954,40.38544828,39.36652279,39.5282338,25.61122145,65.76379918,3.087736994,-22.23034294,-5.662751416,5.722711759,19.84237973,9.020560732,18.25678839,9.789013125,11.02852555,12.61188472,12.06098443,12.58873982,13.30372849,15.49360943,17.22025782,12.36995304,healthy
8,005887c9-4bb1-4f13-86b2-1c7b3cee0881,1.138621569,15.87023258,60.14288712,91.07736206,295.0920105,723.3632202,795.0455933,605.5802002,162.0901947,45.90565109,156.8504181,292.2236328,177.8095703,65.79199982,55.96818161,32.59662247,32.32160568,37.47388077,20.31394386,5.946307182,17.23823738,40.35326004,38.2959137,15.04556847,10.3853426,7.766743183,3.99674511,5.058728695,10.56944752,14.92167473,12.62058735,5.451059818,2.048208237,0.889257133,0.834954023,2.047134638,3.399893999,12.16835785,36.48869705,52.18175888,44.66176605,46.79403687,39.90742874,12.92252159,15.57318401,17.86186028,13.60953045,9.495738983,7.761706829,5.425272942,5.52994442,7.110443592,11.05424023,7.157167435,8.757767677,10.08665276,3.098800182,2.674333572,2.177139282,1.177254081,1.258172393,0.692818701,0.322646767,0.444978774,1.767058969,5.013898373,19.35409355,10.03223419,18.24036789,15.00634003,4.734660149,3.070361853,1.256345153,0.157443479,0.939440548,1.51173985,1.031763077,0.481854379,0.218016505,0.099882267,0.061337549,0.152160391,0.433692604,1.061600566,0.540702343,0.593681157,1.518311262,1.326780677,0.341925859,0.440882981,0.5635795,1.006051898,0.31647259,0.00577836,0.000312106,0.00065317,0.006905978,0.036331553,0.008761278,0.000156906,6.7439E-05,5.39277E-05,2.64829E-05,2.4437E-05,1.52244E-06,6.50778E-06,9.20908E-06,1.86576E-05,8.27693E-05,1.56602E-05,4.67221E-06,1.54552E-05,2.51214E-05,1.26047E-05,2.83196E-05,0.000107717,7.79862E-05,5.08337E-05,2.77302E-05,1.07343E-05,5.41172E-05,1.90553E-05,7.86959E-06,7.40604E-07,2.82207E-09,2.69966E-09,2.67152E-09,2.59658E-09,-0.449040934,-115.6825602,-8.481014108,73.99163216,-3.064489155,-9.428094176,42.5720743,4.708573854,25.98527894,64.08897287,5.313828026,-46.2138634,-21.35542483,2.740725185,7.697079148,6.475661075,7.757529396,7.062163864,12.35840498,12.48935432,13.93361192,10.84539655,10.04905049,11.99005316,14.81299073,10.18769045,healthy
9,005bca13-18d1-4514-a086-cc8c3fafeeb2,1.121312141,1.24200964,1.163461089,4.165558815,32.65888977,230.396759,429.7686768,488.6057129,343.0321655,450.260498,290.2647705,158.9921875,120.4693146,172.6025543,310.712738,166.1103821,111.1407547,180.9069519,165.9690094,82.54033661,51.76338577,33.39983368,19.81311226,26.43239975,23.07200241,7.885911465,1.247060299,3.437089682,5.269530296,4.78828764,21.67241478,46.74850082,76.03128815,44.75019073,26.95618248,76.84526062,109.9668732,161.3740082,233.5932617,191.7750244,164.8027344,161.3189392,439.8912659,312.1239319,365.1116028,208.9801788,52.33953094,48.93359375,90.85120392,108.1136703,114.9194641,71.96582794,17.6389122,10.10234928,8.880046844,11.97571087,17.96761322,15.94614697,17.38842964,29.61141014,26.54786491,6.962839127,6.759624481,28.05518723,15.41812992,22.14994049,11.96983242,2.19445014,0.859969974,2.093717337,3.055347919,2.912723303,14.74462032,3.448660612,2.187167645,0.293025434,0.500052452,0.256698072,0.297404498,0.750535727,1.013708591,3.674571753,4.91989851,8.052336693,3.009232759,1.945430279,0.442149729,0.120925918,0.04996819,0.122534506,0.092228167,0.010306894,0.002499411,0.001239907,0.00022012,0.000120226,0.00010916,8.41284E-05,6.90152E-05,5.55471E-05,4.58369E-05,3.84959E-05,3.14624E-05,2.70805E-05,2.36718E-05,1.99997E-05,1.6894E-05,1.50096E-05,1.31465E-05,1.15268E-05,1.01645E-05,8.79453E-06,7.9543E-06,7.10724E-06,6.29992E-06,5.77328E-06,4.96717E-06,4.62326E-06,4.38746E-06,3.90842E-06,3.77736E-06,3.43573E-06,3.21003E-06,2.97643E-06,2.86726E-06,2.83865E-06,2.75927E-06,2.66166E-06,0.217202214,7.461279865,11.11888364,78.57437196,19.04746128,11.9876512,31.48030173,46.87684971,5.95641E-14,83.81147573,9.242064742,0,1.23915E-13,9.004183223,24.92888518,8.844286726,12.66018768,9.32506563,8.902582716,8.078943941,12.64601862,10.47548362,12.25290298,12.23041769,15.60302627,12.74269479,healthy
