,uuid,mel1,mel2,mel3,mel4,mel5,mel6,mel7,mel8,mel9,mel10,mel11,mel12,mel13,mel14,mel15,mel16,mel17,mel18,mel19,mel20,mel21,mel22,mel23,mel24,mel25,mel26,mel27,mel28,mel29,mel30,mel31,mel32,mel33,mel34,mel35,mel36,mel37,mel38,mel39,mel40,mel41,mel42,mel43,mel44,mel45,mel46,mel47,mel48,mel49,mel50,mel51,mel52,mel53,mel54,mel55,mel56,mel57,mel58,mel59,mel60,mel61,mel62,mel63,mel64,mel65,mel66,mel67,mel68,mel69,mel70,mel71,mel72,mel73,mel74,mel75,mel76,mel77,mel78,mel79,mel80,mel81,mel82,mel83,mel84,mel85,mel86,mel87,mel88,mel89,mel90,mel91,mel92,mel93,mel94,mel95,mel96,mel97,mel98,mel99,mel100,mel101,mel102,mel103,mel104,mel105,mel106,mel107,mel108,mel109,mel110,mel111,mel112,mel113,mel114,mel115,mel116,mel117,mel118,mel119,mel120,mel121,mel122,mel123,mel124,mel125,mel126,mel127,mel128,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc_delta1,mfcc_delta2,mfcc_delta3,mfcc_delta4,mfcc_delta5,mfcc_delta6,mfcc_delta7,mfcc_delta8,mfcc_delta9,mfcc_delta10,mfcc_delta11,mfcc_delta12,mfcc_delta13,status
0,00039425-7f3a-42aa-ac13-834aaa2b6b92,0.426974922,3.668322802,28.33364105,59.93912888,85.13928986,302.1360474,334.5977173,250.5503998,134.7557983,139.9311371,143.5671539,231.0031891,155.2926941,207.0455475,137.334259,46.20109177,29.17519188,27.1196785,26.68448639,20.39089584,5.418203354,5.024692535,4.965604782,3.355070353,3.97138381,5.605021477,10.15756893,8.714566231,8.743854523,7.921105385,17.59264755,17.31709862,22.83106995,19.86646652,6.834089756,8.661419868,7.606897831,4.878136158,2.579685926,1.092218876,0.49791342,0.38093093,1.205971122,1.567542911,2.248165846,1.419968486,2.96575284,5.34689045,5.930870056,23.56972122,37.40960312,6.230591774,4.501672268,5.663333893,14.6046524,25.75033188,8.311179161,1.144577622,2.737118721,2.622428656,1.052126169,0.617132127,0.666364491,2.749816656,2.470107317,7.666813374,14.31466007,12.86511421,12.89464283,2.445954323,1.249282479,0.895966172,1.878913999,1.191252232,0.383932501,0.728322566,2.112059832,2.031274319,2.849987984,3.827656269,3.828303814,2.588354111,2.537420511,1.782384753,2.529266834,0.766346395,0.36354515,0.378369838,0.250074148,0.545096457,0.12492843,0.151815563,0.013350536,0.001521055,0.000750319,2.62696E-05,2.53892E-07,2.72657E-08,3.16298E-08,1.30869E-08,3.16412E-08,2.27631E-08,4.1776E-08,8.42933E-08,4.6754E-08,3.09612E-08,2.66066E-08,1.23168E-08,1.45264E-08,1.96057E-08,1.85139E-08,1.42759E-08,3.91838E-08,9.75388E-09,8.45786E-09,1.55956E-08,2.28728E-08,8.86284E-09,1.17618E-08,1.07539E-08,1.64601E-08,8.75933E-09,9.86564E-09,3.40509E-09,3.44745E-09,2.38851E-09,3.38879E-09,2.64797E-09,-0.65504142,6.779330472,19.98647819,57.20158614,24.94331773,18.26267205,36.494869,75.69096861,21.03289056,59.8751413,13.39753632,0,7.410518911,9.796750311,29.8631673,8.022491005,15.00086008,10.78467804,11.02237654,13.15974211,11.35725958,14.17662553,15.67343133,12.1102172,21.0761993,12.55574114,healthy
1,0009eb28-d8be-4dc1-92bb-907e53bc5c7a,1.775508881,9.826369286,109.1881409,370.8989563,441.8422852,199.9064484,209.4472504,169.6081696,191.0957184,165.7868958,156.5440674,173.5662079,102.8312073,118.9995346,237.530426,255.7093506,492.3439636,753.1443481,891.1151123,867.7963867,639.7284546,492.892334,281.149353,88.43402863,53.24713135,83.45929718,86.61151886,65.38355255,73.2142868,72.84395599,51.55006409,39.08985901,36.31830978,33.86449814,17.94517899,16.60150909,15.99873924,21.21489906,16.98456383,7.885661602,12.60351849,55.16347122,38.95520782,13.59849072,93.897995,110.4758453,30.47327042,9.168233871,11.91700649,10.69931221,11.61773968,19.29356003,29.79298782,7.904968739,3.147986412,1.011796236,0.69820863,1.044143915,0.864653111,1.191230178,1.642454267,5.367697716,1.909650445,1.614481926,1.632233262,1.906563401,6.841219425,8.648809433,4.392938137,3.410240889,2.743197203,2.249192476,6.271327496,7.764143944,5.042243958,6.513270855,4.575034618,6.542347908,4.169984341,6.233802795,2.541768312,2.357624292,5.504569054,3.283335209,0.285018414,0.291641086,0.425528198,0.264728665,0.066659443,0.108843468,0.102455981,0.093432002,0.035959914,0.029063338,0.027211426,0.014971958,0.007986823,0.005786262,0.001182019,0.001963263,0.0036085,0.003876162,0.005755777,0.008099263,0.010195921,0.012336964,0.015462844,0.018067932,0.022886183,0.042426262,0.027704976,0.021298358,0.011798694,0.008964133,0.016308244,0.003566711,0.004345715,0.004791928,0.002590706,0.002045243,0.002400337,0.003589864,0.006426362,0.001312967,6.00131E-08,3.49379E-09,3.08707E-09,3.03884E-09,-0.167116047,0,7.515064714,79.34345647,2.353705177,19.33881859,37.14649484,45.54436611,19.79954462,55.27774767,11.53936919,0,10.58613904,9.533664466,7.952269052,6.353546377,11.36539388,7.905896561,8.282314814,13.60930801,13.74099215,10.8123744,11.17200977,13.99426062,15.07176581,13.59669737,healthy
2,001328dc-ea5d-4847-9ccf-c5aa2a3f2d0f,0.364429206,0.350993156,3.118370056,14.41318226,46.39748764,107.1311722,99.42168427,108.5552292,67.03774261,49.72590256,58.07406235,87.8910675,98.77815247,125.2071533,98.81461334,57.87408066,95.56342316,67.5241394,40.81190491,52.19337463,47.09534073,67.74699402,54.59536362,25.48418045,23.59408188,25.56675911,14.19051266,11.37228584,11.46117783,8.296093941,6.812033176,6.425865173,10.51838112,15.788661,15.22555542,17.41296196,32.45446396,30.85732269,42.85251999,44.00690842,60.31494522,93.13137817,90.14736938,106.6423416,104.6453552,100.2073669,132.0071106,126.0477066,92.36074066,29.9323349,31.42674446,29.23881149,19.26398468,10.68404579,13.01148891,7.115496159,7.618590355,22.35809708,51.82727051,20.29301453,39.85894012,45.59093094,48.57606506,40.31647873,28.12394333,6.54085207,24.29269218,40.01418686,40.987957,36.43911743,31.72490501,6.450095177,10.37942696,4.970928669,3.3020854,5.332567692,5.004103184,2.882768869,1.757354617,2.044110775,4.516389847,6.856229305,3.928634167,3.902206659,4.464960575,1.603069067,2.244422913,4.30183506,2.774988413,3.412109137,1.931219935,2.211115599,0.265384853,0.02024921,0.018241053,0.00217455,2.20799E-05,2.24878E-05,2.05486E-05,2.03714E-05,2.02543E-05,2.03274E-05,2.16649E-05,2.15516E-05,2.03557E-05,2.00825E-05,2.13857E-05,2.2444E-05,2.17815E-05,1.96965E-05,2.12269E-05,2.06463E-05,1.95138E-05,1.86552E-05,1.99921E-05,1.97433E-05,1.98326E-05,1.69446E-05,1.41145E-05,1.42668E-05,5.75809E-06,6.77588E-06,6.42362E-06,9.48675E-06,1.03934E-05,1.03399E-05,1.03136E-05,1.03234E-05,0.590926858,0,34.6649565,79.30759691,35.90229251,14.82637509,52.08140876,31.29701907,20.35968233,103.2560426,30.44188238,0,24.52119687,8.858509243,23.856251,9.628672468,19.7555883,11.81473567,11.46386366,14.00607129,13.7333475,12.92154697,13.28224301,16.63762554,15.81787858,12.26389436,healthy
3,001e2f19-d81c-4029-b33c-d2db56b23a4a,0.39430511,0.221861571,5.779359818,23.68904495,33.98540878,105.5830154,391.9951477,534.2996216,342.4946289,182.3487549,141.3839569,93.05197144,59.3065834,52.34388733,82.69063568,95.71257782,101.7389679,36.13689423,6.878606796,4.544145584,1.448891997,0.976088345,1.175245881,3.533123016,7.146332741,11.36692429,10.41417313,5.010716438,3.281970739,7.874371052,23.98339272,71.36125183,57.79837418,14.09331703,1.570372224,1.563866258,2.159109354,0.926407456,0.46580565,1.199572682,5.356205463,3.354620218,1.72089684,4.138288021,6.384999752,4.522638798,3.668306351,0.99066925,0.378585279,0.276904941,0.261628479,0.734658241,1.295546293,4.371132374,2.81802845,2.232196808,0.490727812,0.210703745,1.326413035,2.550472498,16.51535416,12.94743538,6.682605267,3.132760763,2.328181505,0.862725854,0.500339746,0.789052188,0.856281161,0.281433493,0.143472463,0.05731152,0.162959576,0.288344532,1.06601727,2.275690556,1.112515807,0.531133056,0.074248947,0.284920543,1.496838927,0.624800205,0.224938422,0.129366159,0.114691861,0.624356508,0.58481288,0.086067915,0.172545999,0.02931609,0.034655407,0.010139034,0.006825291,0.00073129,0.000137603,2.08874E-05,9.98114E-08,1.92879E-08,1.27512E-08,9.63472E-09,1.24681E-08,3.50771E-08,1.11944E-08,1.81998E-08,1.98652E-08,1.08234E-08,3.12604E-08,1.22148E-08,1.78922E-08,1.97761E-08,9.21355E-09,9.10699E-09,1.79021E-08,1.31622E-08,9.83865E-09,1.39952E-08,1.99072E-08,9.50824E-09,1.4926E-08,7.91838E-09,1.94336E-08,1.07333E-08,1.09054E-08,3.54365E-09,2.24807E-09,3.0605E-09,2.52346E-09,3.00538E-09,-1.552984502,6.779330472,10.10263494,77.25713587,12.45081184,11.49771684,41.65182556,29.8225911,20.25060236,74.13957468,17.27711982,0,10.45740188,9.892448222,29.55018872,9.858802765,18.92392425,14.29195676,10.27489687,13.67710102,9.809072829,16.16485369,18.58025439,14.91624028,23.09689207,13.0522513,healthy
4,0028b68c-aca4-4f4f-bb1d-cb4ed5bbd952,0.012427198,0.077881828,0.870209336,1.798367739,1.580811262,1.593634367,3.176588774,8.463251114,53.9800148,105.3311615,79.5428772,29.54504013,2.824538946,2.221669197,3.983728647,3.150277615,1.79063344,4.673306465,10.11649323,67.33118439,125.0587845,100.3556671,41.30100632,14.24345589,28.28705597,47.43046188,40.86609268,37.89034653,92.12343597,111.6353378,76.62754059,36.36554337,47.63570023,22.96512985,8.845780373,8.396347046,5.61000824,3.746305704,32.22271347,133.4157867,131.6142883,45.864151,30.63582611,96.13386536,805.1715088,791.3539429,115.4251556,84.91054535,96.83992767,148.2304077,36.71721268,6.588433266,5.046211243,5.660294056,4.353334904,18.61198807,16.47969437,4.479667187,13.18367481,14.60711575,21.18758965,15.02271366,15.53109741,20.59440231,40.54476166,28.69163322,6.590984344,4.960543156,58.49681091,25.67480278,7.264612198,20.03219032,15.11012459,20.55124855,17.29429817,11.764184,8.566413879,3.109953403,1.190052032,2.84488368,4.608550072,4.051104069,9.46193409,11.68430042,1.277937651,2.570543051,2.608143806,4.944841385,3.530795336,0.565998018,0.240286469,0.070139885,0.013801223,0.00168666,0.000554088,0.0001272,0.000925628,0.001648237,0.001069867,0.000214251,0.001025084,9.33212E-05,0.000253476,0.000295537,0.000108498,4.29278E-05,2.47892E-05,8.13694E-05,3.29091E-05,2.44421E-05,3.53746E-05,2.00307E-05,0.000685876,0.000441583,0.000100777,3.34904E-05,1.02091E-05,2.82016E-05,4.11618E-05,2.44192E-05,1.24018E-05,2.05728E-05,9.11627E-06,3.11193E-06,2.92492E-09,2.51427E-09,2.33546E-09,2.64595E-09,0.764983392,0,19.53525278,75.98737941,16.13868135,25.33823404,28.25035252,37.80031791,24.58163777,59.07281664,23.14215459,0,24.18072361,10.44121713,22.68947459,8.731572772,14.78048304,10.10943794,10.45046518,7.225994777,10.62200382,12.11261383,10.88279035,11.52644306,17.33948863,10.72194631,healthy
5,00291cce-36a0-4a29-9e2d-c1d96ca17242,2.238259315,5.158112049,66.33011627,142.9874115,240.9161224,527.8135376,751.0393677,997.8041382,1280.255127,1799.840576,1892.43335,1132.572632,450.7739258,730.7560425,804.9032593,562.8638306,175.9843445,287.7714233,153.0664063,299.8004456,373.310791,531.6168823,385.0186462,122.7274857,76.76406097,62.66746902,44.5471344,34.85705566,67.31890869,64.22669983,40.14874649,54.00635147,22.88698769,26.7096386,40.54534531,54.0068779,46.73973465,61.91911316,40.65473938,51.87755203,99.66357422,42.43514252,29.4389286,11.21320915,16.42714119,14.24414444,7.833034039,8.720752716,8.530385017,22.90608406,21.19752884,29.13302803,26.57723236,19.55459023,11.09680843,11.79493237,6.129853725,12.30562115,13.23878288,21.7827282,18.17566299,12.81064606,11.63149166,5.099416733,3.38336587,7.495136261,7.580227852,2.640416145,6.627891541,6.567731857,7.738255978,10.34196281,13.23809528,8.705179214,6.79353714,9.706329346,4.290881157,0.418894917,0.947216213,4.460821152,11.11120701,6.914685726,20.78242874,8.382800102,4.368964672,6.190814972,18.18853951,13.59002399,15.44920254,5.016834259,1.318693995,0.790128827,0.34434405,0.043682948,0.015186872,0.000816064,2.08062E-05,1.06483E-06,1.17015E-06,7.3293E-07,1.4218E-06,6.29358E-07,1.09123E-07,5.2802E-07,1.33018E-07,4.7586E-08,5.09714E-08,3.28315E-08,1.89932E-08,2.91637E-08,1.96178E-08,2.22772E-08,3.26964E-08,1.17023E-08,1.20852E-08,1.88258E-08,2.48614E-08,2.42268E-08,3.21856E-08,1.39869E-08,4.40966E-08,1.39088E-08,7.55752E-09,3.43083E-09,3.21861E-09,2.79228E-09,3.00859E-09,3.00955E-09,1.213056797,6.779330472,24.2072774,76.4663823,22.0813292,24.82157887,50.15040991,50.68616063,42.3630648,74.19020594,20.58266787,0,13.1647724,9.914976353,36.952043,13.46463361,14.35843345,14.41972721,13.54006502,15.28212264,14.42589929,18.62732318,19.62372917,14.60252986,22.53502008,17.38338547,healthy
6,002d28bc-7806-4dfb-9c9b-afa8cb623cac,0.265657783,2.966926575,33.92774582,120.1781616,156.1806793,144.1177216,124.1129608,250.8817291,198.9138489,147.7225189,77.84567261,44.07284164,63.75390244,134.0317535,223.6138306,216.8075256,404.1431885,390.3411255,282.5394897,315.1207581,288.5528564,312.4452515,207.0110474,21.01280212,22.47566032,34.25403976,26.32514,20.2774601,16.63476181,11.53726578,7.344844341,12.40944195,15.88928509,45.18471527,47.30448914,63.35261917,82.32879639,68.92106628,64.60046387,60.83503723,25.46246719,27.40579605,8.690974236,27.07769394,126.8645401,101.4411469,30.97913551,11.56494713,8.103070259,5.758192539,11.3803091,5.504886627,7.235981941,6.183269978,3.015330553,1.373610973,2.308757067,2.904225111,8.85415554,9.000854492,4.121708393,14.38240147,23.91514397,48.88057327,8.28999424,7.336531639,21.82100296,13.13200188,4.715641022,1.125163555,2.49078393,1.553368211,0.89365685,0.158840671,0.362541884,8.671329498,20.22998238,21.17855835,4.760428905,1.429680228,6.533568382,7.852905273,17.65522385,6.279300213,1.461991072,0.855430603,1.003662586,0.394327909,1.319835544,10.35646248,3.607373714,2.071787596,1.45005846,0.070943102,0.006723566,0.000478394,3.96143E-06,1.2186E-06,6.67213E-07,4.02105E-07,8.81564E-08,4.55976E-08,7.19751E-08,3.99625E-07,6.25467E-08,1.42394E-07,2.31286E-07,1.36916E-08,2.6533E-08,5.07241E-08,2.88137E-08,2.08815E-08,3.40413E-08,1.10653E-08,1.40505E-08,2.85725E-08,1.81808E-08,1.28659E-08,3.92901E-08,1.43519E-08,3.04798E-08,1.03276E-08,8.99918E-09,3.23188E-09,2.73888E-09,2.56796E-09,2.69689E-09,2.74489E-09,1.100023143,0,5.748428163,67.04025075,15.21356699,15.02393356,40.32990139,36.11507762,44.17425979,69.02836175,24.25635119,0,26.83615886,6.475309659,8.965085916,9.157418478,17.5316256,9.244931449,9.2990528,9.901982412,12.14440613,13.58142072,15.40680167,13.22759661,14.09798109,14.24380977,healthy
7,0037f67c-0d6f-42e6-ab94-66499d4d2bf4,16.95467949,81.31610107,207.9936676,257.8026428,277.0575867,766.9922485,637.9976807,573.5405273,304.9759521,57.54075241,113.9691544,94.98462677,78.28373718,156.7934723,193.0971832,150.6736755,101.6624374,52.58820724,70.27567291,96.73583221,48.2618866,61.01274109,72.0246582,39.35271835,16.46770668,16.76093102,20.06934357,21.47165108,14.21532631,17.14304733,15.94758892,9.658857346,14.77466297,11.38036346,7.545683861,4.652879238,5.562243938,5.868602753,11.44507122,17.34322357,17.27862358,19.19200897,12.78532982,16.94183159,13.13171768,6.545735359,5.824186325,8.179447174,6.096951485,14.53573418,13.40653896,11.59675312,8.307747841,7.20982933,9.952711105,14.29975128,11.35851765,21.22669029,17.53710365,5.242953777,5.108685493,2.460990429,2.824696302,4.303292274,3.921517134,2.195848703,2.045915127,1.488697648,1.332339883,1.215501785,0.784617186,1.575673103,1.364842653,2.154320478,4.403194427,1.527446508,1.698864698,0.776598394,1.010663748,0.760873914,1.734713435,0.891318083,0.432579249,1.012414217,0.61689508,0.434308022,0.711658657,3.175928354,4.050805092,1.052610636,0.459803909,0.176503882,0.085399665,0.06900271,0.003956148,0.000329882,2.13577E-05,4.13882E-07,4.63143E-08,4.61815E-08,2.88846E-07,5.12308E-08,1.59731E-08,2.79622E-08,2.26801E-08,2.35244E-08,2.9697E-08,2.11567E-08,1.56206E-08,1.27143E-08,1.26604E-08,1.919E-08,1.08191E-08,1.2E-08,1.05169E-08,1.50636E-08,1.77416E-08,1.88516E-08,2.15683E-08,1.12205E-08,3.47234E-08,1.15794E-08,9.34527E-09,3.42207E-09,3.01623E-09,3.15191E-09,3.07651E-09,2.68518E-09,-0.127158172,0,25.03710774,61.47784542,26.37681301,16.62472889,46.76553468,58.22892981,24.96975547,76.71994528,15.90143361,0,20.99963014,8.117588032,18.68322664,10.83532924,11.36902647,13.41826089,10.23278913,12.75248432,12.37180368,12.61338456,15.52439066,11.33201725,14.43961004,11.41751098,healthy
8,003e1bf6-2ecf-4a00-9198-29db34e8d7ac,0.649785578,1.419450879,5.952915192,7.097367764,29.3766346,59.60855484,81.54599762,196.8962402,252.5303802,135.9432831,207.7536469,179.8034058,185.3929443,449.8325195,797.7340698,684.4734497,502.5805359,414.4157715,216.7039032,86.66708374,24.34584618,10.98429966,15.36307716,14.42628956,13.88448048,15.24818516,19.4687233,51.90914536,70.94522095,38.52725601,17.25042915,14.39631844,30.62878418,47.59158707,28.26057434,52.4431839,86.50498962,77.6064682,42.22812271,61.66182327,97.32781219,64.07303619,36.95161438,233.3162994,244.2805023,447.9797058,467.46875,169.3058014,31.00432968,48.88146591,17.08177567,5.210417271,2.613058329,1.824872851,1.908431411,1.741488695,3.508258581,7.137668133,6.806326389,5.335447788,6.674631596,6.713889122,6.091477871,2.033250093,2.052673578,3.202406168,0.691041291,0.308914512,0.375439614,1.438147426,1.82840693,0.791004062,0.285838574,0.313073426,0.614440203,0.35615471,0.401200116,0.789244533,0.241028726,0.126324475,0.137756705,0.05283504,0.182123378,0.259535044,0.111414373,0.022568198,0.023779511,0.079420589,0.046867467,0.078686267,0.028129155,0.016106935,0.005267775,0.000391162,0.000163941,1.31634E-05,2.66111E-07,1.55815E-08,1.19797E-08,1.90474E-08,1.15401E-08,1.54709E-08,1.33287E-08,1.43875E-08,9.43722E-09,9.93565E-09,1.44312E-08,1.41266E-08,1.65372E-08,2.78128E-08,1.77045E-08,1.39091E-08,1.52542E-08,3.15454E-08,1.21423E-08,1.44273E-08,1.51902E-08,1.43383E-08,1.82227E-08,1.41832E-08,1.42483E-08,1.41635E-08,1.05483E-08,3.79984E-09,3.46784E-09,3.30925E-09,3.1473E-09,2.74647E-09,-0.396910967,0,11.19011152,70.02062029,5.193844238,27.77805138,42.49886041,39.42012215,21.6396102,77.87065349,24.46088692,0,15.97257922,6.859585041,14.21627188,9.416301293,16.57732128,8.18814446,14.67561876,12.58187052,13.21787795,12.9450975,13.79022983,12.86655357,18.73837041,13.47909549,healthy
9,0044964d-f7e9-43e3-831f-ae3e6374a9a4,4.267734051,3.921659708,11.87655449,69.9433136,402.2662964,880.2528687,903.6785889,455.1822815,282.1396484,152.8723602,248.7114563,1052.953735,1247.126099,2254.844971,1596.831909,449.6646729,100.532547,105.9062805,129.5684052,183.4856873,144.0991211,185.6134033,214.7076569,198.178299,515.352356,629.7992554,482.8400879,603.2267456,269.2415161,138.0941772,163.3031311,104.661293,95.73204803,99.47255707,54.77285767,106.2883301,203.5403748,283.8504639,246.4454346,441.1639709,386.2709045,128.7473602,174.9753723,318.3423767,300.1969299,96.32304382,204.7711029,275.4268494,429.9093018,270.7265015,95.98132324,43.92606354,100.0697021,174.2256012,64.57985687,161.4076233,533.0205078,347.089447,449.9700928,416.9485168,173.2821655,121.1932831,36.07659912,31.76128387,29.28776741,20.19270134,17.77604485,45.77596283,89.50402069,38.91604614,33.91926575,19.34357452,11.91652393,30.91519356,23.95714569,18.88967514,34.14206314,13.39764977,12.81533813,22.61610603,25.18033218,12.31153202,9.965987206,19.77079964,15.04614162,2.954908371,3.415898323,3.157289267,4.018296719,1.87744391,2.265163898,1.825262308,1.719533801,0.860463917,0.591650903,0.391549796,0.541992247,0.45215711,0.453581572,0.977175832,1.151068449,0.728256106,0.485488713,0.460642844,0.378044039,0.276638299,0.252019197,0.220508754,0.158266008,0.143007904,0.123697773,0.161011815,0.131743655,0.092581086,0.041649517,0.027690364,0.025375066,0.020329863,0.030550027,0.03991304,0.028581508,0.022231661,0.019931115,0.001913085,0.001162497,0.000982141,0.002364425,0.002050523,1.806515564,0,17.00470187,99.23193181,20.26344897,29.24035732,52.7398158,38.55015771,33.61167821,72.38901667,28.22205545,0.830940497,39.07350326,5.516931331,20.14543447,14.90613215,15.45675431,9.933625784,11.95490438,12.96848477,11.76580955,12.15247515,17.58189074,14.19578507,15.07778477,12.65703634,healthy
